#Target_ID	VR_number	VR_ID	Target start	Target end	VR start	VR end	TR start	TR end
DGR1_target1	VR1	DGR1_target1_VR1	1674613	1675323	1675215	1675307	2846460	2846552
DGR2_target1	VR1	DGR2_target1_VR1	2114345	2119981	2118027	2118150	2121977	2122100
DGR2_target1	VR2	DGR2_target1_VR2	2114345	2119981	2118864	2118987	2121977	2122100
DGR2_target1	VR3	DGR2_target1_VR3	2114345	2119981	2119848	2119971	2121977	2122100
DGR3_target1	VR1	DGR3_target1_VR1	2840311	2843349	2843241	2843333	2846460	2846552
DGR3_target2	VR1	DGR3_target2_VR1	2846876	2849944	2849836	2849928	2846460	2846552
DGR4_target1	VR1	DGR4_target1_VR1	3596355	3600881	3598903	3599026	2121977	2122100
DGR4_target1	VR2	DGR4_target1_VR2	3596355	3600881	3599740	3599863	2121977	2122100
DGR4_target1	VR3	DGR4_target1_VR3	3596355	3600881	3600751	3600874	2121977	2122100
DGR5_target1	VR3	DGR5_target1_VR3	3874890	3870289	3870421	3870299	2121978	2122100
DGR5_target1	VR2	DGR5_target1_VR2	3874890	3870289	3871436	3871314	2121977	2122099
DGR5_target1	VR1	DGR5_target1_VR1	3874890	3870289	3872285	3872163	2121977	2122099
DGR6_target1	VR1	DGR6_target1_VR1	4021509	4018672	4018800	4018679	4024718	4024597
DGR6_target2	VR1	DGR6_target2_VR1	4027762	4024925	4025053	4024932	4024718	4024597
DGR7_target1	VR1	DGR7_target1_VR1	4698800	4702225	4702090	4702225	470020	470155
DGR7_target2	VR1	DGR7_target2_VR1	4709816	4704624	4704759	4704624	470020	470155
DGR7_target3	VR1	DGR7_target3_VR1	4717842	4714312	4714447	4714312	470020	470155
DGR8_target1	VR1	DGR8_target1_VR1	99510	102278	101981	102113	103828	103960
DGR8_target2	VR1	DGR8_target2_VR1	104167	105090	104831	104964	103827	103960
DGR9_target1	VR1	DGR9_target1_VR1	464924	468901	468748	468882	470014	470148
DGR9_target2	VR1	DGR9_target2_VR1	472574	471387	471534	471392	470014	470156
