#Target_ID	VR_number	VR_ID	Target start	Target end	VR start	VR end
DGR1_target1	VR1	DGR1_target1_VR1	1674613	1675323	1675215	1675307
DGR2_target1	VR1	DGR2_target1_VR1	2114345	2119981	2118027	2118150
DGR2_target1	VR2	DGR2_target1_VR2	2114345	2119981	2118864	2118987
DGR2_target1	VR3	DGR2_target1_VR3	2114345	2119981	2119848	2119971
DGR3_target1	VR1	DGR3_target1_VR1	2840311	2843349	2843241	2843333
DGR3_target2	VR1	DGR3_target2_VR1	2846876	2849944	2849836	2849928
DGR4_target1	VR1	DGR4_target1_VR1	3596355	3600881	3598903	3599026
DGR4_target1	VR2	DGR4_target1_VR2	3596355	3600881	3599740	3599863
DGR4_target1	VR3	DGR4_target1_VR3	3596355	3600881	3600751	3600874
DGR5_target1	VR3	DGR5_target1_VR3	3870289	3874890	3870299	3870421
DGR5_target1	VR2	DGR5_target1_VR2	3870289	3874890	3871314	3871436
DGR5_target1	VR1	DGR5_target1_VR1	3870289	3874890	3872163	3872285
DGR6_target1	VR1	DGR6_target1_VR1	4018672	4021509	4018679	4018800
DGR6_target2	VR1	DGR6_target2_VR1	4024925	4027762	4024932	4025053
DGR7_target1	VR1	DGR7_target1_VR1	4698800	4702225	4702090	4702225
DGR7_target2	VR1	DGR7_target2_VR1	4704624	4709816	4704624	4704759
DGR7_target3	VR1	DGR7_target3_VR1	4714312	4717842	4714312	4714447
DGR8_target1	VR1	DGR8_target1_VR1	99510	102278	101981	102113
DGR8_target2	VR1	DGR8_target2_VR1	104167	105090	104831	104964
DGR9_target1	VR1	DGR9_target1_VR1	464924	468901	468748	468882
DGR9_target2	VR1	DGR9_target2_VR1	471387	472574	471392	471534
